Chanel Beauty,Tom Ford Beauty,La Prairie,Dior Beauty,La Mer,Shiseido,Augustinus Bader,Caudalie,SkinCeuticals,YSL Beauty,Sisley Paris,Lancome,Charlotte Tilburry,Kiehls,Laura Mercier,Year,Period,Value,luxury index
7.0,1.0,17.0,15.0,54.0,56.627547869054965,10.617665225447807,31.85299567634342,53.088326127239036,7.180451127819549,7.180451127819549,157.9699248120301,0.0,19.88202637057599,41.08952116585704,2023,Q02,4.6,31.96592730014583
8.0,2.0,19.0,16.0,58.0,57.80728844966028,7.078443483631871,29.493514515132794,50.72884496602841,7.180451127819549,0.0,157.9699248120301,0.0,26.509368494101317,41.08952116585704,2023,Q02,4.6,32.05715713428409
8.0,1.0,17.0,16.0,56.0,56.627547869054965,9.437924644842495,29.493514515132794,55.44780728844966,7.180451127819549,0.0,157.9699248120301,0.0,29.16030534351145,39.76405274115198,2023,Q02,4.6,32.20543522279953
6.0,1.0,17.0,15.0,69.0,53.088326127239036,9.437924644842495,29.493514515132794,53.088326127239036,7.180451127819549,0.0,172.3308270676692,0.0,21.207494795281054,39.76405274115198,2023,Q02,4.6,32.90606114309168
10.0,1.0,18.0,15.0,61.0,55.44780728844966,8.258184064237183,29.493514515132794,50.72884496602841,7.180451127819549,0.0,165.15037593984962,0.0,22.53296321998612,42.41498959056211,2023,Q02,4.6,32.413808714137694
11.0,2.0,20.0,14.0,64.0,57.80728844966028,9.437924644842495,31.85299567634342,46.00988264360716,7.180451127819549,0.0,157.9699248120301,0.0,27.834836918806385,39.76405274115198,2023,Q03,4.6,32.59049046761742
9.0,1.0,17.0,14.0,66.0,60.1667696108709,10.617665225447807,37.75169857936998,57.80728844966028,7.180451127819549,0.0,165.15037593984962,0.0,33.13671061762665,39.76405274115198,2023,Q03,4.6,34.57166748611978
10.0,2.0,17.0,13.0,58.0,57.80728844966028,7.078443483631871,29.493514515132794,47.189623224212475,7.180451127819549,0.0,150.78947368421055,0.0,23.858431644691187,43.74045801526717,2023,Q03,4.6,31.142512276308388
8.0,0.0,18.0,14.0,63.0,60.1667696108709,7.078443483631871,30.673255095738106,54.26806670784435,7.180451127819549,0.0,165.15037593984962,0.0,26.509368494101317,38.438584316446914,2023,Q03,4.6,32.83102098508684
8.0,2.0,19.0,13.0,57.0,55.44780728844966,8.258184064237183,29.493514515132794,47.189623224212475,0.0,0.0,172.3308270676692,0.0,25.183900069396252,41.08952116585704,2023,Q03,4.6,31.866225159663642
8.0,1.0,18.0,16.0,58.0,57.80728844966028,12.977146386658431,34.21247683755404,51.908585546633724,7.180451127819549,0.0,165.15037593984962,0.0,22.53296321998612,38.438584316446914,2023,Q03,4.6,32.74719145497391
8.0,1.0,18.0,16.0,57.0,54.26806670784435,9.437924644842495,33.03273625694873,51.908585546633724,7.180451127819549,0.0,201.05263157894737,0.0,26.509368494101317,41.08952116585704,2023,Q03,4.6,34.96528570153297
8.0,0.0,17.0,14.0,60.0,56.627547869054965,10.617665225447807,31.85299567634342,51.908585546633724,7.180451127819549,0.0,179.51127819548873,0.0,25.183900069396252,49.04233171408744,2023,Q03,4.6,34.06165036161813
9.0,0.0,16.0,14.0,52.0,54.26806670784435,8.258184064237183,30.673255095738106,50.72884496602841,7.180451127819549,0.0,157.9699248120301,0.0,26.509368494101317,42.41498959056211,2023,Q03,4.6,31.26687232389074
7.0,1.0,17.0,16.0,53.0,56.627547869054965,7.078443483631871,29.493514515132794,57.80728844966028,7.180451127819549,0.0,157.9699248120301,0.0,31.811242192921583,47.716863289382374,2023,Q03,4.6,32.6456850493089
7.0,1.0,17.0,13.0,53.0,55.44780728844966,7.078443483631871,28.313773934527482,53.088326127239036,7.180451127819549,0.0,150.78947368421055,0.0,31.811242192921583,41.08952116585704,2023,Q03,4.6,31.053269266977114
9.0,0.0,15.0,14.0,53.0,61.34651019147621,7.078443483631871,30.673255095738106,53.088326127239036,7.180451127819549,0.0,165.15037593984962,0.0,23.858431644691187,51.69326856349757,2023,Q03,4.6,32.73793747826287
9.0,1.0,15.0,16.0,51.0,51.908585546633724,8.258184064237183,31.85299567634342,51.908585546633724,7.180451127819549,0.0,157.9699248120301,0.0,23.858431644691187,39.76405274115198,2023,Q03,4.6,30.98008074396939
9.0,2.0,17.0,16.0,53.0,50.72884496602841,7.078443483631871,27.134033353922174,43.65040148239654,7.180451127819549,0.0,172.3308270676692,0.0,21.207494795281054,38.438584316446914,2023,Q04,4.3,30.983272039546378
9.0,2.0,16.0,17.0,55.0,55.44780728844966,8.258184064237183,33.03273625694873,49.5491043854231,7.180451127819549,0.0,165.15037593984962,0.0,22.53296321998612,38.438584316446914,2023,Q04,4.3,31.90601377327739
11.0,1.0,17.0,16.0,57.0,56.627547869054965,9.437924644842495,30.673255095738106,49.5491043854231,7.180451127819549,0.0,165.15037593984962,0.0,25.183900069396252,35.78764746703678,2023,Q04,4.3,32.10601377327739
9.0,2.0,16.0,18.0,60.0,56.627547869054965,9.437924644842495,28.313773934527482,50.72884496602841,7.180451127819549,0.0,172.3308270676692,0.0,31.811242192921583,43.74045801526717,2023,Q04,4.3,33.678071321208726
9.0,1.0,14.0,18.0,60.0,54.26806670784435,9.437924644842495,30.673255095738106,55.44780728844966,7.180451127819549,0.0,172.3308270676692,0.0,30.485773768216514,39.76405274115198,2023,Q04,4.3,33.43921056278212
10.0,3.0,16.0,25.0,59.0,54.26806670784435,9.437924644842495,34.21247683755404,56.627547869054965,7.180451127819549,0.0,186.6917293233083,0.0,23.858431644691187,38.438584316446914,2023,Q04,4.3,34.91434749810412
11.0,2.0,20.0,24.0,56.0,57.80728844966028,11.797405806053119,35.392217418159355,60.1667696108709,7.180451127819549,0.0,208.23308270676694,0.0,31.811242192921583,42.41498959056211,2023,Q04,4.3,37.853563126854255
14.0,3.0,20.0,36.0,96.0,95.55898702903026,16.516368128474365,53.088326127239036,92.01976528721433,35.902255639097746,7.180451127819549,445.1879699248121,0.0,79.52810548230396,64.94795281054823,2023,Q04,4.3,70.59534543710264
15.0,3.0,18.0,28.0,83.0,75.50339715873996,14.156886967263741,47.189623224212475,69.6046942557134,21.54135338345865,0.0,308.75939849624064,0.0,55.66967383761277,55.66967383761277,2023,Q04,4.3,53.00631341072363
12.0,2.0,16.0,27.0,69.0,57.80728844966028,9.437924644842495,36.57195799876467,55.44780728844966,14.360902255639099,0.0,208.23308270676694,0.0,31.811242192921583,45.06592643997224,2023,Q04,4.3,38.982408798467794
14.0,3.0,18.0,29.0,67.0,58.98702903026559,11.797405806053119,36.57195799876467,56.627547869054965,7.180451127819549,0.0,201.05263157894737,0.0,37.11311589174184,42.41498959056211,2023,Q04,4.3,38.84967525954728
14.0,3.0,18.0,29.0,66.0,66.06547251389746,12.977146386658431,36.57195799876467,54.26806670784435,14.360902255639099,0.0,222.59398496240604,0.0,37.11311589174184,46.3913948646773,2023,Q04,4.3,41.35613610544194
13.0,2.0,16.0,25.0,72.0,73.14391599752933,12.977146386658431,42.47066090179123,61.34651019147621,7.180451127819549,0.0,222.59398496240604,0.0,34.46217904233171,59.646079111727964,2023,Q04,4.3,42.78806184811604
11.0,2.0,18.0,23.0,62.0,68.42495367510809,14.156886967263741,41.290920321185915,61.34651019147621,7.180451127819549,0.0,186.6917293233083,0.0,29.16030534351145,59.646079111727964,2023,Q04,4.3,38.926522404093426
10.0,2.0,16.0,20.0,59.0,64.88573193329215,9.437924644842495,37.75169857936998,61.34651019147621,7.180451127819549,0.0,165.15037593984962,0.0,27.834836918806385,132.5468424705066,2024,Q01,4.4,40.8756247870642
8.0,1.0,16.0,18.0,52.0,62.526250772081525,11.797405806053119,35.392217418159355,58.98702903026559,7.180451127819549,0.0,157.9699248120301,0.0,29.16030534351145,87.48091603053435,2024,Q01,4.4,36.366300022697004
8.0,2.0,16.0,17.0,58.0,57.80728844966028,10.617665225447807,41.290920321185915,56.627547869054965,7.180451127819549,0.0,165.15037593984962,0.0,27.834836918806385,71.57529493407355,2024,Q01,4.4,35.93895871905987
8.0,3.0,16.0,15.0,58.0,54.26806670784435,9.437924644842495,33.03273625694873,62.526250772081525,7.180451127819549,0.0,165.15037593984962,0.0,26.509368494101317,58.3206106870229,2024,Q01,4.4,34.42838564203403
9.0,1.0,17.0,15.0,51.0,54.26806670784435,8.258184064237183,36.57195799876467,55.44780728844966,7.180451127819549,0.0,165.15037593984962,0.0,26.509368494101317,54.3442054129077,2024,Q01,4.4,33.382027802264936
8.0,1.0,16.0,14.0,55.0,57.80728844966028,11.797405806053119,34.21247683755404,62.526250772081525,7.180451127819549,0.0,172.3308270676692,0.0,26.509368494101317,54.3442054129077,2024,Q01,4.4,34.71388493118978
8.0,2.0,16.0,18.0,59.0,60.1667696108709,9.437924644842495,36.57195799876467,66.06547251389746,7.180451127819549,0.0,165.15037593984962,0.0,27.834836918806385,59.646079111727964,2024,Q01,4.4,35.67025785777194
